B_index,B_id,Latitude,Longitude,Media,B_Size,Zone,End_time,Start_time,Influence,B_Cost,Cost
1,18,40.85071,-73.93581,Poster,242.74,1,00:60,00:55,0.0115999235400936,5418.1995400000005,0.001108424363072286
2,18,40.85071,-73.93581,Poster,242.74,1,02:15,02:10,0.0115999235400936,5418.1995400000005,0.0010554128796441283
3,18,40.85071,-73.93581,Poster,242.74,1,07:30,07:25,0.0115999235400936,5418.1995400000005,0.0011173208391354254
4,18,40.85071,-73.93581,Poster,242.74,1,07:60,07:55,0.0115999235400936,5418.1995400000005,0.00111530338729586
5,18,40.85071,-73.93581,Poster,242.74,1,11:60,11:55,0.0115999235400936,5418.1995400000005,0.0011472696226628735
6,18,40.85071,-73.93581,Poster,242.74,1,18:40,18:35,0.0115999235400936,5418.1995400000005,0.001202999759822271
7,18,40.85071,-73.93581,Poster,242.74,1,20:60,20:55,0.0115999235400936,5418.1995400000005,0.0012157354431386656
8,18,40.85071,-73.93581,Poster,242.74,1,21:45,21:40,0.0231998470801873,5418.1995400000005,0.0021944809695278065
9,18,40.85071,-73.93581,Poster,242.74,1,21:55,21:50,0.0115999235400936,5418.1995400000005,0.0011189372798622896
10,18,40.85071,-73.93581,Poster,242.74,1,22:05,22:00,0.0115999235400936,5418.1995400000005,0.0012449317480373173
11,18,40.85071,-73.93581,Poster,242.74,1,23:40,23:35,0.0463996941603746,5418.1995400000005,0.004740347939890441
12,18,40.85071,-73.93581,Poster,242.74,1,23:50,23:45,0.0115999235400936,5418.1995400000005,0.001159790707343472
13,22,40.86981,-73.9166,Poster,242.74,1,00:10,00:05,0.0115999235400936,5418.1995400000005,0.0010567917915414366
14,22,40.86981,-73.9166,Poster,242.74,1,00:30,00:25,0.0115999235400936,5418.1995400000005,0.0010659061932930239
15,22,40.86981,-73.9166,Poster,242.74,1,14:25,14:20,0.0115999235400936,5418.1995400000005,0.0012608950921488493
16,22,40.86981,-73.9166,Poster,242.74,1,15:05,15:00,0.0231998470801873,5418.1995400000005,0.0021943305564433987
17,22,40.86981,-73.9166,Poster,242.74,1,16:40,16:35,0.0115999235400936,5418.1995400000005,0.0011248852880005424
18,22,40.86981,-73.9166,Poster,242.74,1,20:20,20:15,0.0115999235400936,5418.1995400000005,0.001149124394590121
19,22,40.86981,-73.9166,Poster,242.74,1,21:15,21:10,0.0115999235400936,5418.1995400000005,0.0010946812684964314
20,22,40.86981,-73.9166,Poster,242.74,1,22:20,22:15,0.0115999235400936,5418.1995400000005,0.0011801363298461853
21,22,40.86981,-73.9166,Poster,242.74,1,23:45,23:40,0.0115999235400936,5418.1995400000005,0.0012160919458683677
22,23,40.86981,-73.9166,Poster,242.74,1,00:10,00:05,0.0115999235400936,5418.1995400000005,0.0011004338337569845
23,23,40.86981,-73.9166,Poster,242.74,1,00:30,00:25,0.0115999235400936,5418.1995400000005,0.001201712232107271
24,23,40.86981,-73.9166,Poster,242.74,1,14:25,14:20,0.0115999235400936,5418.1995400000005,0.0010942021175203858
25,23,40.86981,-73.9166,Poster,242.74,1,15:05,15:00,0.0231998470801873,5418.1995400000005,0.002138433944677168
26,23,40.86981,-73.9166,Poster,242.74,1,16:40,16:35,0.0115999235400936,5418.1995400000005,0.0012225791695127312
27,23,40.86981,-73.9166,Poster,242.74,1,20:20,20:15,0.0115999235400936,5418.1995400000005,0.0011953397362218217
