B_index,B_id,Latitude,Longitude,Media,B_Size,Zone,End_time,Start_time,Influence,B_Cost,Cost
1,18,40.85071,-73.93581,Poster,242.74,1,00:60,00:55,0.0115999235400936,5418.1995400000005,0.00109492742162091
2,18,40.85071,-73.93581,Poster,242.74,1,02:15,02:10,0.0115999235400936,5418.1995400000005,0.0011686097439499526
3,18,40.85071,-73.93581,Poster,242.74,1,07:30,07:25,0.0115999235400936,5418.1995400000005,0.0010877422098420153
4,18,40.85071,-73.93581,Poster,242.74,1,07:60,07:55,0.0115999235400936,5418.1995400000005,0.001170881033209808
5,18,40.85071,-73.93581,Poster,242.74,1,11:60,11:55,0.0115999235400936,5418.1995400000005,0.0010746698507195934
6,18,40.85071,-73.93581,Poster,242.74,1,18:40,18:35,0.0115999235400936,5418.1995400000005,0.0012535847774082622
7,18,40.85071,-73.93581,Poster,242.74,1,20:60,20:55,0.0115999235400936,5418.1995400000005,0.0010498342036714483
8,18,40.85071,-73.93581,Poster,242.74,1,21:45,21:40,0.0231998470801873,5418.1995400000005,0.00218303919024231
9,18,40.85071,-73.93581,Poster,242.74,1,21:55,21:50,0.0115999235400936,5418.1995400000005,0.0012008952678932475
10,18,40.85071,-73.93581,Poster,242.74,1,22:05,22:00,0.0115999235400936,5418.1995400000005,0.001089569259129728
11,18,40.85071,-73.93581,Poster,242.74,1,23:40,23:35,0.0463996941603746,5418.1995400000005,0.004472034183114975
12,18,40.85071,-73.93581,Poster,242.74,1,23:50,23:45,0.0115999235400936,5418.1995400000005,0.0012739050019257615
13,22,40.86981,-73.9166,Poster,242.74,1,00:10,00:05,0.0115999235400936,5418.1995400000005,0.0011248475241386684
14,22,40.86981,-73.9166,Poster,242.74,1,00:30,00:25,0.0115999235400936,5418.1995400000005,0.0010864324769137308
15,22,40.86981,-73.9166,Poster,242.74,1,14:25,14:20,0.0115999235400936,5418.1995400000005,0.001057849344020214
16,22,40.86981,-73.9166,Poster,242.74,1,15:05,15:00,0.0231998470801873,5418.1995400000005,0.0023604467368434764
17,22,40.86981,-73.9166,Poster,242.74,1,16:40,16:35,0.0115999235400936,5418.1995400000005,0.0012252948570821195
18,22,40.86981,-73.9166,Poster,242.74,1,20:20,20:15,0.0115999235400936,5418.1995400000005,0.0011566249874849454
19,22,40.86981,-73.9166,Poster,242.74,1,21:15,21:10,0.0115999235400936,5418.1995400000005,0.001067500231270902
20,22,40.86981,-73.9166,Poster,242.74,1,22:20,22:15,0.0115999235400936,5418.1995400000005,0.001209255650862696
21,22,40.86981,-73.9166,Poster,242.74,1,23:45,23:40,0.0115999235400936,5418.1995400000005,0.0011308911672568808
22,23,40.86981,-73.9166,Poster,242.74,1,00:10,00:05,0.0115999235400936,5418.1995400000005,0.0010986513959309547
23,23,40.86981,-73.9166,Poster,242.74,1,00:30,00:25,0.0115999235400936,5418.1995400000005,0.0011158525104093492
24,23,40.86981,-73.9166,Poster,242.74,1,14:25,14:20,0.0115999235400936,5418.1995400000005,0.001239610176038448
25,23,40.86981,-73.9166,Poster,242.74,1,15:05,15:00,0.0231998470801873,5418.1995400000005,0.0025422032618455733
26,23,40.86981,-73.9166,Poster,242.74,1,16:40,16:35,0.0115999235400936,5418.1995400000005,0.0011957151331987625
27,23,40.86981,-73.9166,Poster,242.74,1,20:20,20:15,0.0115999235400936,5418.1995400000005,0.0011193512469866926
28,23,40.86981,-73.9166,Poster,242.74,1,21:15,21:10,0.0115999235400936,5418.1995400000005,0.0011792121914090616
29,23,40.86981,-73.9166,Poster,242.74,1,22:20,22:15,0.0115999235400936,5418.1995400000005,0.0011659656991403352
30,23,40.86981,-73.9166,Poster,242.74,1,23:45,23:40,0.0115999235400936,5418.1995400000005,0.001270770823992001
31,68,40.818089,-73.960708,Poster,242.74,1,00:05,00:00,0.0115999235400936,5418.1995400000005,0.001167584670589164
32,68,40.818089,-73.960708,Poster,242.74,1,00:25,00:20,0.0115999235400936,5418.1995400000005,0.001136059146836927
33,68,40.818089,-73.960708,Poster,242.74,1,00:50,00:45,0.0115999235400936,5418.1995400000005,0.001205324300778608
34,68,40.818089,-73.960708,Poster,242.74,1,00:55,00:50,0.0115999235400936,5418.1995400000005,0.0011937846616466969
35,68,40.818089,-73.960708,Poster,242.74,1,00:60,00:55,0.0115999235400936,5418.1995400000005,0.0010712722806121727
36,68,40.818089,-73.960708,Poster,242.74,1,01:25,01:20,0.0115999235400936,5418.1995400000005,0.0012588112421711881
37,68,40.818089,-73.960708,Poster,242.74,1,01:40,01:35,0.0115999235400936,5418.1995400000005,0.0012694470873248456
38,68,40.818089,-73.960708,Poster,242.74,1,01:55,01:50,0.0115999235400936,5418.1995400000005,0.0011130270889703154
39,68,40.818089,-73.960708,Poster,242.74,1,02:35,02:30,0.0115999235400936,5418.1995400000005,0.0011875380321257243
40,68,40.818089,-73.960708,Poster,242.74,1,03:45,03:40,0.0115999235400936,5418.1995400000005,0.0011666760434594337
41,68,40.818089,-73.960708,Poster,242.74,1,04:50,04:45,0.0115999235400936,5418.1995400000005,0.0011394279153616703
42,68,40.818089,-73.960708,Poster,242.74,1,13:60,13:55,0.0115999235400936,5418.1995400000005,0.0010956107236688916
43,68,40.818089,-73.960708,Poster,242.74,1,14:05,14:00,0.0115999235400936,5418.1995400000005,0.001084698960012814
44,68,40.818089,-73.960708,Poster,242.74,1,14:10,14:05,0.0115999235400936,5418.1995400000005,0.0011388332724944258
45,68,40.818089,-73.960708,Poster,242.74,1,14:15,14:10,0.0115999235400936,5418.1995400000005,0.0011508670969260554
46,68,40.818089,-73.960708,Poster,242.74,1,14:20,14:15,0.0115999235400936,5418.1995400000005,0.001169601808937069
47,68,40.818089,-73.960708,Poster,242.74,1,14:35,14:30,0.0231998470801873,5418.1995400000005,0.0022258874799428565
48,68,40.818089,-73.960708,Poster,242.74,1,16:10,16:05,0.0115999235400936,5418.1995400000005,0.0010853155813012356
49,68,40.818089,-73.960708,Poster,242.74,1,19:55,19:50,0.0115999235400936,5418.1995400000005,0.0012499731934682528
