UserId,Influenced Billboards
1,"{2736: 0.2087355442989582, 5394: 0.0143362324381152}"
2,"{2709: 0.0298193634712797, 3312: 0.0334512090222689, 3321: 0.0334512090222689, 3449: 0.0143362324381152, 3458: 0.0143362324381152, 4514: 0.0194972761158367, 7754: 0.8644748160183503, 9246: 0.4920194972761158, 9297: 0.8610341202332027, 9453: 0.1154066711268278, 10272: 0.0034406957851476, 10473: 0.0034406957851476, 10674: 0.0034406957851476}"
3,"{5323: 0.0286724648762305, 5327: 0.0286724648762305, 5333: 0.0430086973143457, 5334: 0.0143362324381152, 5336: 0.0286724648762305, 5348: 0.0286724648762305, 5349: 0.0286724648762305, 5350: 0.0143362324381152, 5362: 0.0286724648762305, 5407: 0.0143362324381152, 5551: 0.1711115358883685}"
4,"{2430: 0.0963394819841345, 2438: 0.0321131606613781, 2514: 0.0642263213227563, 7781: 2.3052661760489346}"
5,{}
6,"{108: 0.0115999235400936, 122: 0.0115999235400936, 125: 0.0115999235400936, 139: 0.0115999235400936, 416: 0.0115999235400936, 512: 0.0115999235400936, 889: 0.0231998470801873, 1159: 0.0231998470801873, 1326: 0.0231998470801873, 2436: 0.1605658033068909, 3013: 0.0321131606613781, 5639: 0.0642263213227563, 6839: 0.0115999235400936, 6842: 0.0115999235400936, 7625: 0.2881582720061167, 7627: 0.2881582720061167, 7646: 0.2881582720061167, 9151: 0.2460097486380579, 9153: 0.1230048743190289, 9160: 0.2460097486380579, 9166: 0.2460097486380579, 9173: 0.1230048743190289, 9174: 0.3690146229570868, 9176: 0.2460097486380579, 10152: 0.0011468985950492, 10353: 0.0011468985950492, 10554: 0.0011468985950492}"
7,"{2436: 0.1605658033068909, 2509: 0.0321131606613781, 2517: 0.0963394819841345, 2527: 0.0642263213227563, 5072: 0.1496893816305075}"
8,{5751: 0.0642263213227563}
9,"{2269: 0.0596387269425595, 2604: 0.119277453885119, 3038: 0.0615502246009748, 4749: 0.0943668164006499, 4826: 0.0917518876039376, 5353: 0.0716811621905763, 6417: 0.0182356876612826, 6434: 0.0182356876612826}"
10,"{1742: 0.0321131606613781, 2324: 0.0321131606613781, 2692: 0.0596387269425595, 2933: 0.057344929752461, 2934: 0.057344929752461, 2936: 0.1146898595049221, 2938: 0.2293797190098442, 2939: 0.057344929752461, 2995: 0.1146898595049221, 3634: 0.1194686036509605, 3636: 0.238937207301921, 3639: 0.3584058109528816, 3789: 0.0186371021695498, 3896: 0.0188894198604606, 3898: 0.0377788397209213, 3901: 0.056668259581382, 4186: 0.1254420338335085, 10241: 0.0080282901653445, 10248: 0.0057344929752461, 10442: 0.0080282901653445, 10449: 0.0057344929752461, 10643: 0.0080282901653445, 10650: 0.0057344929752461}"
11,"{2530: 0.0963394819841345, 3645: 0.3584058109528816, 3657: 0.3584058109528816, 3674: 0.1194686036509605, 3907: 0.056668259581382, 3919: 0.056668259581382, 3936: 0.0188894198604606, 4074: 0.1254420338335085, 9317: 0.7380292459141737, 10171: 0.0011468985950492, 10187: 0.0022937971900984, 10372: 0.0011468985950492, 10388: 0.0022937971900984, 10573: 0.0011468985950492, 10589: 0.0022937971900984}"
