B_index,B_id,Latitude,Longitude,Start_time,End_time,Tags,B_Size,B_Cost,Influence,Zone
1,432995,34.034443,-118.264257,00:00,00:01,Chinese Restaurant,145,3236.545,0.21577380952381,0
2,432995,34.034443,-118.264257,00:03,00:04,Art Gallery,468,10446.228,0.696428571428571,0
3,432995,34.034443,-118.264257,00:05,00:06,Scandinavian Restaurant,484,10803.364,1.44047619047619,0
4,432995,34.034443,-118.264257,00:06,00:07,Sporting Goods Shop,201,4486.521,0.299107142857143,0
5,432995,34.034443,-118.264257,00:09,00:10,Camera Store,331,7388.251,0.492559523809524,0
6,432995,34.034443,-118.264257,00:13,00:14,Bar,432,9642.672,1.92857142857143,0
7,432995,34.034443,-118.264257,00:19,00:20,Scandinavian Restaurant,574,12812.254,0.854166666666667,0
8,432995,34.034443,-118.264257,00:20,00:21,Fried Chicken Joint,514,11472.994,1.5297619047619,0
9,432995,34.034443,-118.264257,00:22,00:23,Filipino Restaurant,188,4196.348,0.279761904761905,0
10,432995,34.034443,-118.264257,00:26,00:27,Portuguese Restaurant,84,1874.964,0.125,0
11,432995,34.034443,-118.264257,00:37,00:38,Cosmetics Shop,263,5870.423,0.782738095238095,0
12,432995,34.034443,-118.264257,00:41,00:42,Antique Shop,398,8883.758,0.592261904761905,0
13,432995,34.034443,-118.264257,00:42,00:43,Gaming Cafe,514,11472.994,0.764880952380952,0
14,432995,34.034443,-118.264257,00:48,00:49,Medical School,251,5602.571,0.74702380952381,0
15,432995,34.034443,-118.264257,00:49,00:50,Gift Shop,435,9709.635,0.647321428571429,0
16,432995,34.034443,-118.264257,00:50,00:51,Candy Store,201,4486.521,0.598214285714286,0
17,432995,34.034443,-118.264257,00:51,00:52,Spanish Restaurant,629,14039.909,0.936011904761905,0
18,432995,34.034443,-118.264257,00:54,00:55,Church,358,7990.918,0.532738095238095,0
19,432995,34.034443,-118.264257,00:56,00:57,Burrito Place,270,6026.67,0.803571428571429,0
20,432995,34.034443,-118.264257,00:58,00:59,Mediterranean Restaurant,528,11785.488,0.785714285714286,0
21,432995,34.034443,-118.264257,00:59,01:00,Office,602,13437.242,0.895833333333333,0
22,432995,34.034443,-118.264257,01:00,01:01,College Theater,361,8057.881,0.537202380952381,0
23,432995,34.034443,-118.264257,01:01,01:02,Home (private),351,7834.671,0.522321428571429,0
24,432995,34.034443,-118.264257,01:04,01:05,Moving Target,356,7946.276,0.529761904761905,0
25,432995,34.034443,-118.264257,01:05,01:06,Sorority House,325,7254.325,0.967261904761905,0
26,432995,34.034443,-118.264257,01:08,01:09,American Restaurant,558,12455.118,0.830357142857143,0
27,432995,34.034443,-118.264257,01:10,01:11,Racetrack,590,13169.39,0.87797619047619,0
28,432995,34.034443,-118.264257,01:14,01:15,Sushi Restaurant,213,4754.373,0.316964285714286,0
29,432995,34.034443,-118.264257,01:16,01:17,Science Museum,403,8995.363,0.599702380952381,0
30,432995,34.034443,-118.264257,01:25,01:26,Gluten-free Restaurant,276,6160.596,0.410714285714286,0
31,432995,34.034443,-118.264257,01:27,01:28,Hardware Store,670,14955.07,0.99702380952381,0
32,432995,34.034443,-118.264257,01:28,01:29,Sushi Restaurant,580,12946.18,0.863095238095238,0
33,432995,34.034443,-118.264257,01:31,01:32,Filipino Restaurant,667,14888.107,0.992559523809524,0
34,432995,34.034443,-118.264257,01:33,01:34,Home (private),243,5424.003,0.723214285714286,0
35,432995,34.034443,-118.264257,01:35,01:36,Internet Cafe,411,9173.931,1.22321428571429,0
36,432995,34.034443,-118.264257,01:36,01:37,Theater,135,3013.335,0.200892857142857,0
37,432995,34.034443,-118.264257,01:43,01:44,Shrine,333,7432.893,0.495535714285714,0
38,432995,34.034443,-118.264257,01:44,01:45,General College & University,313,6986.473,0.46577380952381,0
39,432995,34.034443,-118.264257,01:45,01:46,Turkish Restaurant,540,12053.34,0.803571428571429,0
40,432995,34.034443,-118.264257,01:48,01:49,Antique Shop,369,8236.449,0.549107142857143,0
41,432995,34.034443,-118.264257,01:50,01:51,Wings Joint,188,4196.348,0.279761904761905,0
42,432995,34.034443,-118.264257,01:51,01:52,Moving Target,503,11227.463,0.748511904761905,0
43,432995,34.034443,-118.264257,01:52,01:53,Caribbean Restaurant,117,2611.557,0.174107142857143,0
44,432995,34.034443,-118.264257,01:55,01:56,High School,627,13995.267,0.933035714285714,0
45,432995,34.034443,-118.264257,02:01,02:02,Zoo,274,6115.954,0.407738095238095,0
46,432995,34.034443,-118.264257,02:02,02:03,Thai Restaurant,620,13839.02,0.922619047619047,0
47,432995,34.034443,-118.264257,02:06,02:07,Café,197,4397.237,0.293154761904762,0
48,432995,34.034443,-118.264257,02:07,02:08,Rest Area,164,3660.644,0.244047619047619,0
49,432995,34.034443,-118.264257,02:08,02:09,Brazilian Restaurant,433,9664.993,0.644345238095238,0
50,432995,34.034443,-118.264257,02:09,02:10,Historic Site,666,14865.786,1.98214285714286,0
51,432995,34.034443,-118.264257,02:10,02:11,Furniture / Home Store,144,3214.224,0.214285714285714,0
52,432995,34.034443,-118.264257,02:12,02:13,Rental Car Location,328,7321.288,0.488095238095238,0
53,432995,34.034443,-118.264257,02:16,02:17,Brazilian Restaurant,270,6026.67,0.401785714285714,0
54,432995,34.034443,-118.264257,02:20,02:21,South American Restaurant,671,14977.391,0.998511904761905,0
55,432995,34.034443,-118.264257,02:23,02:24,Bowling Alley,628,14017.588,0.93452380952381,0
56,432995,34.034443,-118.264257,02:25,02:26,Cupcake Shop,559,12477.439,0.831845238095238,0
57,432995,34.034443,-118.264257,02:27,02:28,Recycling Facility,662,14776.502,0.985119047619047,0
58,432995,34.034443,-118.264257,02:28,02:29,Dim Sum Restaurant,481,10736.401,0.71577380952381,0
59,432995,34.034443,-118.264257,02:35,02:36,Casino,571,12745.291,0.849702380952381,0
60,432995,34.034443,-118.264257,02:36,02:37,Middle School,616,13749.736,0.916666666666667,0
61,432995,34.034443,-118.264257,02:37,02:38,Miscellaneous Shop,403,8995.363,0.599702380952381,0
62,432995,34.034443,-118.264257,02:38,02:39,Community College,614,13705.094,0.913690476190476,0
63,432995,34.034443,-118.264257,02:39,02:40,Bookstore,519,11584.599,0.772321428571429,0
64,432995,34.034443,-118.264257,02:40,02:41,Event Space,390,8705.19,1.16071428571429,0
65,432995,34.034443,-118.264257,02:43,02:44,Market,184,4107.064,0.547619047619048,0
66,432995,34.034443,-118.264257,02:45,02:46,Diner,625,13950.625,2.79017857142857,0
67,432995,34.034443,-118.264257,02:49,02:50,Convention Center,416,9285.536,1.85714285714286,0
