B_index,B_id,Latitude,Longitude,Start_time,End_time,Tags,B_Size,B_Cost,Influence,Zone,Cost
1,432995,34.034443,-118.264257,00:00,00:01,Chinese Restaurant,145,3236.545,0.21577380952381,0,0.0220642499445442
2,432995,34.034443,-118.264257,00:03,00:04,Art Gallery,468,10446.228,0.696428571428571,0,0.07098499593273248
3,432995,34.034443,-118.264257,00:05,00:06,Scandinavian Restaurant,484,10803.364,1.44047619047619,0,0.15390561299565203
4,432995,34.034443,-118.264257,00:06,00:07,Sporting Goods Shop,201,4486.521,0.299107142857143,0,0.030967557710910552
5,432995,34.034443,-118.264257,00:09,00:10,Camera Store,331,7388.251,0.492559523809524,0,0.0502569284726776
6,432995,34.034443,-118.264257,00:13,00:14,Bar,432,9642.672,1.92857142857143,0,0.2054350812921974
7,432995,34.034443,-118.264257,00:19,00:20,Scandinavian Restaurant,574,12812.254,0.854166666666667,0,0.08707527322737403
8,432995,34.034443,-118.264257,00:20,00:21,Fried Chicken Joint,514,11472.994,1.5297619047619,0,0.14837157982989452
9,432995,34.034443,-118.264257,00:22,00:23,Filipino Restaurant,188,4196.348,0.279761904761905,0,0.027830912379759248
10,432995,34.034443,-118.264257,00:26,00:27,Portuguese Restaurant,84,1874.964,0.125,0,0.012330009777166296
11,432995,34.034443,-118.264257,00:37,00:38,Cosmetics Shop,263,5870.423,0.782738095238095,0,0.0773301046595969
12,432995,34.034443,-118.264257,00:41,00:42,Antique Shop,398,8883.758,0.592261904761905,0,0.059079007008198195
13,432995,34.034443,-118.264257,00:42,00:43,Gaming Cafe,514,11472.994,0.764880952380952,0,0.08314838054178926
14,432995,34.034443,-118.264257,00:48,00:49,Medical School,251,5602.571,0.74702380952381,0,0.07030867428770585
15,432995,34.034443,-118.264257,00:49,00:50,Gift Shop,435,9709.635,0.647321428571429,0,0.06784795606682496
16,432995,34.034443,-118.264257,00:50,00:51,Candy Store,201,4486.521,0.598214285714286,0,0.059017898523716104
17,432995,34.034443,-118.264257,00:51,00:52,Spanish Restaurant,629,14039.909,0.936011904761905,0,0.10210293492328718
18,432995,34.034443,-118.264257,00:54,00:55,Church,358,7990.918,0.532738095238095,0,0.05283662530503178
19,432995,34.034443,-118.264257,00:56,00:57,Burrito Place,270,6026.67,0.803571428571429,0,0.07888693888340328
20,432995,34.034443,-118.264257,00:58,00:59,Mediterranean Restaurant,528,11785.488,0.785714285714286,0,0.07493886781661852
21,432995,34.034443,-118.264257,00:59,01:00,Office,602,13437.242,0.895833333333333,0,0.08245356772836372
22,432995,34.034443,-118.264257,01:00,01:01,College Theater,361,8057.881,0.537202380952381,0,0.05788983833544541
23,432995,34.034443,-118.264257,01:01,01:02,Home (private),351,7834.671,0.522321428571429,0,0.051350315492309936
24,432995,34.034443,-118.264257,01:04,01:05,Moving Target,356,7946.276,0.529761904761905,0,0.051353080833899376
25,432995,34.034443,-118.264257,01:05,01:06,Sorority House,325,7254.325,0.967261904761905,0,0.08816410983053319
26,432995,34.034443,-118.264257,01:08,01:09,American Restaurant,558,12455.118,0.830357142857143,0,0.07898639886624637
27,432995,34.034443,-118.264257,01:10,01:11,Racetrack,590,13169.39,0.87797619047619,0,0.08000247704194065
28,432995,34.034443,-118.264257,01:14,01:15,Sushi Restaurant,213,4754.373,0.316964285714286,0,0.03466803631903564
29,432995,34.034443,-118.264257,01:16,01:17,Science Museum,403,8995.363,0.599702380952381,0,0.06317842430592234
30,432995,34.034443,-118.264257,01:25,01:26,Gluten-free Restaurant,276,6160.596,0.410714285714286,0,0.04134009938352517
31,432995,34.034443,-118.264257,01:27,01:28,Hardware Store,670,14955.07,0.99702380952381,0,0.10038420891157358
32,432995,34.034443,-118.264257,01:28,01:29,Sushi Restaurant,580,12946.18,0.863095238095238,0,0.08586050244958816
33,432995,34.034443,-118.264257,01:31,01:32,Filipino Restaurant,667,14888.107,0.992559523809524,0,0.09885959915631425
34,432995,34.034443,-118.264257,01:33,01:34,Home (private),243,5424.003,0.723214285714286,0,0.0686768518927862
35,432995,34.034443,-118.264257,01:35,01:36,Internet Cafe,411,9173.931,1.22321428571429,0,0.12272388935621752
36,432995,34.034443,-118.264257,01:36,01:37,Theater,135,3013.335,0.200892857142857,0,0.021543076153532202
37,432995,34.034443,-118.264257,01:43,01:44,Shrine,333,7432.893,0.495535714285714,0,0.04659420269366294
38,432995,34.034443,-118.264257,01:44,01:45,General College & University,313,6986.473,0.46577380952381,0,0.04656310729861961
39,432995,34.034443,-118.264257,01:45,01:46,Turkish Restaurant,540,12053.34,0.803571428571429,0,0.07697849898007354
40,432995,34.034443,-118.264257,01:48,01:49,Antique Shop,369,8236.449,0.549107142857143,0,0.04963366522144955
41,432995,34.034443,-118.264257,01:50,01:51,Wings Joint,188,4196.348,0.279761904761905,0,0.02985157977400481
42,432995,34.034443,-118.264257,01:51,01:52,Moving Target,503,11227.463,0.748511904761905,0,0.06784275369107037
43,432995,34.034443,-118.264257,01:52,01:53,Caribbean Restaurant,117,2611.557,0.174107142857143,0,0.016683173725018888
44,432995,34.034443,-118.264257,01:55,01:56,High School,627,13995.267,0.933035714285714,0,0.08522788377166424
45,432995,34.034443,-118.264257,02:01,02:02,Zoo,274,6115.954,0.407738095238095,0,0.04257239198267756
46,432995,34.034443,-118.264257,02:02,02:03,Thai Restaurant,620,13839.02,0.922619047619047,0,0.08677170457451001
47,432995,34.034443,-118.264257,02:06,02:07,Café,197,4397.237,0.293154761904762,0,0.028909940140604412
48,432995,34.034443,-118.264257,02:07,02:08,Rest Area,164,3660.644,0.244047619047619,0,0.026273419605036836
49,432995,34.034443,-118.264257,02:08,02:09,Brazilian Restaurant,433,9664.993,0.644345238095238,0,0.06709033302615705
50,432995,34.034443,-118.264257,02:09,02:10,Historic Site,666,14865.786,1.98214285714286,0,0.18832450268906412
51,432995,34.034443,-118.264257,02:10,02:11,Furniture / Home Store,144,3214.224,0.214285714285714,0,0.02354519141476821
52,432995,34.034443,-118.264257,02:12,02:13,Rental Car Location,328,7321.288,0.488095238095238,0,0.048279795062467976
53,432995,34.034443,-118.264257,02:16,02:17,Brazilian Restaurant,270,6026.67,0.401785714285714,0,0.03684855920431887
54,432995,34.034443,-118.264257,02:20,02:21,South American Restaurant,671,14977.391,0.998511904761905,0,0.09845689062463471
55,432995,34.034443,-118.264257,02:23,02:24,Bowling Alley,628,14017.588,0.93452380952381,0,0.09677276472916382
56,432995,34.034443,-118.264257,02:25,02:26,Cupcake Shop,559,12477.439,0.831845238095238,0,0.07772720000045667
57,432995,34.034443,-118.264257,02:27,02:28,Recycling Facility,662,14776.502,0.985119047619047,0,0.09601752431567051
58,432995,34.034443,-118.264257,02:28,02:29,Dim Sum Restaurant,481,10736.401,0.71577380952381,0,0.07337528707012361
59,432995,34.034443,-118.264257,02:35,02:36,Casino,571,12745.291,0.849702380952381,0,0.08955710415149505
60,432995,34.034443,-118.264257,02:36,02:37,Middle School,616,13749.736,0.916666666666667,0,0.09727024760105173
61,432995,34.034443,-118.264257,02:37,02:38,Miscellaneous Shop,403,8995.363,0.599702380952381,0,0.056213453530636406
62,432995,34.034443,-118.264257,02:38,02:39,Community College,614,13705.094,0.913690476190476,0,0.10023104326765755
63,432995,34.034443,-118.264257,02:39,02:40,Bookstore,519,11584.599,0.772321428571429,0,0.07903305128312059
64,432995,34.034443,-118.264257,02:40,02:41,Event Space,390,8705.19,1.16071428571429,0,0.11616484525733069
65,432995,34.034443,-118.264257,02:43,02:44,Market,184,4107.064,0.547619047619048,0,0.0516312774944143
66,432995,34.034443,-118.264257,02:45,02:46,Diner,625,13950.625,2.79017857142857,0,0.28799571463603757
67,432995,34.034443,-118.264257,02:49,02:50,Convention Center,416,9285.536,1.85714285714286,0,0.17078430023940333
68,432995,34.034443,-118.264257,02:52,02:53,Filipino Restaurant,492,10981.932,1.46428571428571,0,0.1332022498677021
69,432995,34.034443,-118.264257,02:55,02:56,Rest Area,254,5669.534,0.37797619047619,0,0.036400268614873055
70,432995,34.034443,-118.264257,02:57,02:58,Hot Dog Joint,400,8928.4,0.595238095238095,0,0.05653241841370747
71,432995,34.034443,-118.264257,02:58,02:59,Car Dealership,658,14687.218,0.979166666666667,0,0.08942141665941888
72,432995,34.034443,-118.264257,02:59,03:00,Concert Hall,272,6071.312,0.404761904761905,0,0.037750171976150174
73,432995,34.034443,-118.264257,03:00,03:01,Other Great Outdoors,188,4196.348,0.279761904761905,0,0.026123585679434347
74,432995,34.034443,-118.264257,03:04,03:05,Ski Area,182,4062.422,1.08333333333333,0,0.09787597956093978
75,432995,34.034443,-118.264257,03:05,03:06,Burger Joint,123,2745.483,0.366071428571429,0,0.0346775499760109
76,432995,34.034443,-118.264257,03:07,03:08,Pet Service,457,10200.697,0.680059523809524,0,0.06977209133600651
77,432995,34.034443,-118.264257,03:08,03:09,Gift Shop,300,6696.3,0.446428571428571,0,0.041018517326973314
78,432995,34.034443,-118.264257,03:10,03:11,Funeral Home,549,12254.229,0.816964285714286,0,0.08067100588495363
79,432995,34.034443,-118.264257,03:12,03:13,Synagogue,176,3928.496,1.30952380952381,0,0.13335325357078112
80,432995,34.034443,-118.264257,03:17,03:18,Tattoo Parlor,284,6339.164,0.422619047619048,0,0.04374701371489002
81,432995,34.034443,-118.264257,03:24,03:25,Vietnamese Restaurant,549,12254.229,1.63392857142857,0,0.15967473759811418
82,432995,34.034443,-118.264257,03:25,03:26,Other Great Outdoors,656,14642.576,0.976190476190476,0,0.09088934881644986
83,432995,34.034443,-118.264257,03:28,03:29,Food,190,4240.99,0.282738095238095,0,0.027570632763867724
84,432995,34.034443,-118.264257,03:30,03:31,Flea Market,170,3794.57,0.505952380952381,0,0.05335979015814095
85,432995,34.034443,-118.264257,03:32,03:33,Concert Hall,481,10736.401,0.71577380952381,0,0.07701510159522376
86,432995,34.034443,-118.264257,03:33,03:34,Molecular Gastronomy Restaurant,588,13124.748,0.875,0,0.08703947777449846
87,432995,34.034443,-118.264257,03:35,03:36,Peruvian Restaurant,453,10111.413,0.674107142857143,0,0.07261172887171755
88,432995,34.034443,-118.264257,03:39,03:40,Latin American Restaurant,588,13124.748,0.875,0,0.08680820075127879
89,432995,34.034443,-118.264257,03:40,03:41,Home (private),476,10624.796,0.708333333333333,0,0.07460205482149969
90,432995,34.034443,-118.264257,03:43,03:44,Steakhouse,309,6897.189,0.459821428571429,0,0.043191044398456814
91,432995,34.034443,-118.264257,03:51,03:52,Department Store,417,9307.857,0.620535714285714,0,0.06525816195322817
92,432995,34.034443,-118.264257,03:52,03:53,Fair,576,12856.896,0.857142857142857,0,0.07930518490861688
93,432995,34.034443,-118.264257,03:53,03:54,Board Shop,88,1964.248,0.130952380952381,0,0.014081209555539426
94,432995,34.034443,-118.264257,03:55,03:56,Financial or Legal Service,289,6450.769,0.430059523809524,0,0.045080228399827074
95,432995,34.034443,-118.264257,03:56,03:57,Music Store,572,12767.612,0.851190476190476,0,0.09029525642759265
96,432995,34.034443,-118.264257,03:57,03:58,Bridge,365,8147.165,1.08630952380952,0,0.10158017041868797
97,432995,34.034443,-118.264257,03:59,04:00,Medical School,261,5825.781,0.776785714285714,0,0.07980075804956024
98,432995,34.034443,-118.264257,04:00,04:01,Pet Store,168,3749.928,0.25,0,0.025259059117958494
99,432995,34.034443,-118.264257,04:10,04:11,Arepa Restaurant,671,14977.391,0.998511904761905,0,0.10637844993188036
100,432995,34.034443,-118.264257,04:11,04:12,Embassy / Consulate,603,13459.563,0.897321428571429,0,0.09018246621860787
