UserId,Influenced Billboards
1,{}
2,"{551: 0.136904761904762, 981: 1.33928571428571, 2503: 0.43452380952381}"
3,"{3536: 0.574404761904762, 4638: 0.239583333333333}"
4,{}
5,"{1557: 0.244047619047619, 2086: 0.813988095238095}"
6,"{10: 0.125, 880: 0.87202380952381, 1445: 0.505952380952381}"
7,"{1246: 0.5625, 3067: 0.291666666666667, 2365: 0.483630952380952, 3289: 0.714285714285714}"
8,"{996: 0.505952380952381, 3953: 0.415178571428571, 3179: 0.394345238095238, 4189: 0.510416666666667}"
9,"{652: 2.22767857142857, 4031: 0.748511904761905, 3121: 0.961309523809524, 4115: 0.895833333333333}"
10,"{2805: 1.25892857142857, 1877: 0.404761904761905, 2217: 0.126488095238095, 3752: 1.91071428571429}"
11,"{79: 1.30952380952381, 283: 0.970238095238095, 3127: 0.764880952380952, 3167: 0.824404761904762, 4128: 0.535714285714286, 4176: 0.831845238095238}"
12,"{748: 0.601190476190476, 2243: 1.43154761904762, 3856: 0.805059523809524, 3460: 0.805059523809524}"
13,"{468: 0.773809523809524, 1595: 0.40327380952381, 1862: 1.63392857142857, 2473: 3.24404761904762}"
14,"{736: 0.876488095238095, 834: 0.319940476190476, 1167: 0.505952380952381, 1175: 0.90327380952381, 2620: 0.633928571428571, 3067: 0.291666666666667, 2127: 0.24702380952381, 3756: 0.50297619047619}"
15,"{615: 1.01488095238095, 2793: 0.508928571428571, 3232: 0.404761904761905, 3375: 0.177083333333333, 4265: 0.791666666666667, 4440: 0.427083333333333}"
16,"{3119: 1.57142857142857, 3234: 0.943452380952381, 4113: 0.970238095238095, 4268: 0.638392857142857, 4668: 0.483630952380952}"
17,"{1170: 0.276785714285714, 1443: 2.96428571428571}"
18,"{373: 0.49702380952381, 2580: 0.921130952380952, 1861: 0.788690476190476, 2518: 0.976190476190476, 3838: 2.7797619047619, 3479: 1.58630952380952, 4567: 0.532738095238095}"
19,{3887: 2.07589285714286}
20,"{357: 1.72619047619048, 714: 0.136904761904762}"
21,"{1165: 1.24107142857143, 1491: 0.6875, 2273: 0.53422619047619}"
22,"{1138: 0.880952380952381, 3848: 0.543154761904762}"
23,"{480: 0.549107142857143, 636: 1.63690476190476, 799: 0.980654761904762, 2291: 1.81845238095238}"
24,{75: 0.366071428571429}
25,"{1221: 0.181547619047619, 2878: 0.633928571428571, 1817: 0.616071428571429, 2084: 0.941964285714286, 3994: 0.273809523809524}"
26,"{43: 0.174107142857143, 4016: 0.699404761904762, 3537: 0.970238095238095, 4639: 0.614583333333333}"
27,"{285: 1.33333333333333, 2641: 0.819940476190476, 1555: 1.41071428571429, 3325: 0.738095238095238, 4380: 1.71428571428571}"
28,"{780: 0.584821428571429, 3998: 1.31845238095238, 4075: 0.516369047619048, 4274: 0.998511904761905}"
29,"{987: 0.641369047619048, 1024: 0.668154761904762, 3288: 0.99702380952381}"
30,"{355: 0.12202380952381, 614: 0.806547619047619, 1196: 1.44047619047619, 2216: 0.547619047619048, 3987: 0.665178571428571}"
31,"{1213: 1.32142857142857, 1865: 0.693452380952381, 4206: 0.389880952380952}"
32,"{214: 0.688988095238095, 2009: 0.703869047619048}"
33,{2157: 0.238095238095238}
34,"{972: 0.708333333333333, 1063: 0.751488095238095, 1326: 0.665178571428571, 1953: 1.99553571428571, 2043: 0.735119047619048, 2350: 1.54761904761905, 4198: 0.813988095238095}"
35,"{1280: 2.29166666666667, 3409: 0.831845238095238, 3531: 0.636904761904762, 4480: 0.416666666666667, 4632: 0.248511904761905}"
36,"{1371: 0.964285714285714, 1388: 1.16964285714286}"
37,"{783: 1.97619047619048, 1191: 1.0297619047619, 2034: 0.452380952380952}"
38,"{3942: 0.513392857142857, 4045: 0.238095238095238, 3337: 0.748511904761905, 4392: 0.354166666666667, 4661: 0.931547619047619}"
39,"{50: 1.98214285714286, 3124: 0.989583333333333, 4121: 0.56547619047619}"
40,"{46: 0.922619047619047, 811: 1.45238095238095, 1699: 0.263392857142857, 1846: 0.308035714285714, 1973: 0.80952380952381, 2308: 0.958333333333333}"
41,"{1944: 0.264880952380952, 2074: 0.677083333333333, 3551: 0.507440476190476, 4656: 0.96875}"
42,"{694: 1.90625, 912: 1.90178571428571, 1466: 1.08333333333333, 4029: 0.785714285714286, 3541: 0.979166666666667, 4195: 0.558035714285714, 4643: 0.458333333333333}"
43,{4034: 0.480654761904762}
44,"{492: 0.604166666666667, 1368: 0.772321428571429, 2811: 0.785714285714286}"
45,"{147: 0.419642857142857, 1292: 0.178571428571429}"
46,"{2650: 0.235119047619048, 2446: 0.375, 3624: 0.306547619047619, 3882: 0.138392857142857, 3989: 0.916666666666667, 4093: 0.462797619047619}"
47,{1029: 0.488095238095238}
48,"{362: 1.32440476190476, 3726: 1.43154761904762, 3133: 2.90178571428571, 3340: 0.441964285714286, 4135: 1.55357142857143, 4396: 0.367559523809524}"
49,"{139: 0.569940476190476, 2102: 1.04464285714286}"
50,"{534: 0.569940476190476, 2815: 0.415178571428571, 2823: 0.4375, 1480: 0.946428571428571, 2113: 0.322916666666667, 3274: 0.880952380952381, 4318: 0.297619047619048}"
51,"{2174: 0.767857142857143, 4063: 0.561011904761905}"
52,{1502: 0.345238095238095}
53,"{1332: 0.803571428571429, 1511: 1.50297619047619, 3499: 0.266369047619048, 4590: 0.522321428571429}"
54,"{500: 0.933035714285714, 2804: 0.336309523809524, 4695: 0.837797619047619}"
55,"{312: 0.907738095238095, 1139: 1.44047619047619}"
56,{}
57,"{536: 0.257440476190476, 3956: 0.720238095238095}"
58,"{3131: 1.77083333333333, 4666: 1.10714285714286}"
59,"{1793: 0.147321428571429, 2033: 0.55952380952381}"
60,"{3142: 0.796130952380952, 3560: 0.563988095238095, 4148: 0.34672619047619, 4669: 0.913690476190476}"
61,{1608: 0.793154761904762}
62,"{19: 0.803571428571429, 2917: 0.282738095238095, 2169: 1.38392857142857, 4077: 1.75297619047619, 3456: 0.739583333333333, 4541: 1.54166666666667}"
63,"{585: 0.501488095238095, 588: 0.264880952380952, 2612: 1.24404761904762, 2899: 0.357142857142857, 2993: 0.805059523809524, 3683: 0.900297619047619, 4067: 0.736607142857143, 3316: 0.651785714285714, 4368: 0.401785714285714}"
64,"{4068: 0.224702380952381, 3507: 1.24553571428571, 4599: 2.79017857142857}"
65,"{455: 0.803571428571429, 3687: 1.94642857142857}"
66,{1389: 1.95535714285714}
67,{1015: 1.875}
68,"{1102: 0.96875, 1651: 0.995535714285714}"
69,"{3864: 0.97172619047619, 4613: 0.706845238095238}"
70,"{2386: 0.818452380952381, 3603: 0.266369047619048}"
71,"{1704: 0.848214285714286, 3750: 0.793154761904762}"
72,{1036: 1.38095238095238}
73,"{1000: 1.95238095238095, 3698: 1.73660714285714}"
74,"{164: 0.605654761904762, 482: 0.662202380952381}"
75,"{75: 0.366071428571429, 1324: 2.47321428571429, 2845: 0.376488095238095, 1498: 0.822916666666667}"
76,"{3036: 0.479166666666667, 1494: 2.21428571428571, 2240: 0.849702380952381, 2513: 0.447916666666667}"
77,"{2759: 0.494047619047619, 3112: 1.05059523809524, 4106: 0.324404761904762}"
78,"{3208: 0.739583333333333, 4231: 0.50297619047619}"
79,"{230: 0.961309523809524, 4100: 1.2172619047619}"
80,"{699: 0.666666666666667, 1341: 0.511904761904762}"
81,"{926: 0.772321428571429, 2652: 0.78422619047619}"
82,{1229: 0.699404761904762}
83,"{855: 0.275297619047619, 1295: 0.479166666666667, 2778: 0.726190476190476, 2238: 0.386904761904762, 2320: 0.614583333333333, 3929: 0.349702380952381, 3359: 0.96875, 4419: 0.361607142857143}"
84,"{3055: 0.883928571428571, 2498: 0.982142857142857}"
85,"{347: 0.90625, 2673: 1.86309523809524, 3001: 0.244047619047619, 2445: 0.452380952380952}"
86,"{573: 1.78869047619048, 914: 1.80357142857143, 1192: 0.22172619047619}"
87,{1830: 0.395833333333333}
88,{}
89,"{301: 0.440476190476191, 776: 0.150297619047619, 978: 0.699404761904762, 1465: 1.92857142857143, 2165: 0.629464285714286, 3787: 0.516369047619048, 3806: 0.586309523809524, 4161: 1.72321428571429}"
90,"{20: 0.785714285714286, 677: 0.936011904761905, 931: 0.793154761904762, 934: 0.654761904761905, 1532: 0.464285714285714, 2340: 0.443452380952381, 3360: 0.529761904761905, 4420: 1.45238095238095}"
91,{}
92,"{2974: 3.67261904761905, 1490: 1.9702380952381, 2476: 1.25595238095238, 3777: 0.925595238095238}"
93,"{1363: 0.144345238095238, 2597: 0.461309523809524, 2946: 1.9672619047619, 2950: 0.203869047619048, 4681: 0.354166666666667}"
94,"{141: 0.931547619047619, 353: 0.482142857142857, 3480: 1.17857142857143, 4569: 1.96428571428571}"
95,{}
96,{1827: 2.15625}
97,"{3196: 0.453869047619048, 3236: 1.67559523809524, 4270: 1.94940476190476}"
98,{}
99,"{1111: 0.382440476190476, 4706: 1.65178571428571}"
100,{1600: 1.2797619047619}
101,"{977: 1.30357142857143, 2479: 0.592261904761905}"
102,"{1110: 0.547619047619048, 2947: 0.1875}"
103,"{1289: 0.549107142857143, 2248: 0.816964285714286}"
104,"{332: 0.991071428571429, 858: 0.72172619047619, 943: 0.386904761904762, 2411: 0.18452380952381, 3946: 0.8125}"
105,{}
106,{2734: 0.805059523809524}
107,"{1104: 1.73214285714286, 1499: 0.46875, 2078: 0.241071428571429, 4502: 1.57142857142857}"
108,"{199: 0.857142857142857, 411: 1.0327380952381, 443: 1.08928571428571, 4087: 0.145833333333333}"
109,"{2646: 0.953869047619047, 3212: 0.227678571428571, 4235: 0.9375}"
110,"{876: 0.401785714285714, 1225: 0.961309523809524, 2359: 0.97172619047619}"
111,"{166: 0.770833333333333, 349: 0.552083333333333}"
112,"{1233: 0.735119047619048, 3011: 0.577380952380952}"
113,"{381: 0.589285714285714, 1000: 1.95238095238095, 1149: 0.678571428571429, 2223: 0.770833333333333}"
114,{3865: 0.96875}
115,"{3082: 0.647321428571429, 1945: 2.40625, 3338: 0.553571428571429, 4394: 0.736607142857143}"
116,"{376: 0.90625, 2753: 0.84375, 2118: 0.9375}"
117,"{12: 0.592261904761905, 1323: 0.808035714285714, 3855: 0.238095238095238}"
118,"{1670: 0.334821428571429, 3797: 0.282738095238095}"
119,{1468: 1.12053571428571}
120,{}
121,"{726: 0.75, 1800: 1.66517857142857}"
122,"{653: 1.7202380952381, 1397: 1.86904761904762, 3749: 0.726190476190476}"
123,"{342: 0.397321428571429, 372: 0.938988095238095, 699: 0.666666666666667, 3693: 0.566964285714286, 3727: 2.51339285714286, 4171: 0.389880952380952}"
124,"{3025: 0.188988095238095, 1661: 0.605654761904762, 1843: 0.693452380952381, 3286: 0.586309523809524, 4333: 0.427083333333333}"
